Furniture_Type,Material,Condition,Age_Years,Original_Price_INR,Brand,Location_Type,Selling_Price_INR
Wardrobe,Glass,Good,10,27805,Urban Ladder,Urban,13683
Sofa,Wood,Poor,2,27190,Urban Ladder,Semi-Urban,2964
Wardrobe,Metal,Excellent,7,10997,Urban Ladder,Rural,16083
Cabinet,Plastic,Poor,2,25752,Godrej,Semi-Urban,66031
Chair,Wood,Excellent,12,21069,Godrej,Rural,59346
Wardrobe,Fabric,Poor,4,64485,Local,Rural,24391
Sofa,Fabric,Good,1,60291,Godrej,Semi-Urban,42948
Chair,Plastic,Average,5,33508,Nilkamal,Urban,54489
Wardrobe,Glass,Average,14,54574,Urban Ladder,Rural,2926
Bed,Glass,Good,5,54902,Urban Ladder,Rural,49872
Desk,Wood,Excellent,7,65426,IKEA,Rural,66494
Chair,Glass,Poor,7,11524,IKEA,Semi-Urban,35867
Desk,Plastic,Good,0,13071,Nilkamal,Rural,52486
Chair,Wood,Poor,4,44466,IKEA,Semi-Urban,16647
Bed,Metal,Good,1,89132,Local,Rural,47220
Desk,Glass,Good,9,53094,Local,Urban,10732
Table,Glass,Poor,11,78317,Urban Ladder,Rural,28788
Sofa,Wood,Average,4,43239,Local,Semi-Urban,26825
Table,Fabric,Average,9,50560,IKEA,Semi-Urban,32528
Wardrobe,Glass,Excellent,11,48924,Nilkamal,Rural,67704
Bed,Plastic,Poor,8,57542,Local,Semi-Urban,6850
Table,Glass,Excellent,3,52264,Urban Ladder,Urban,20637
Chair,Metal,Good,7,70799,Urban Ladder,Semi-Urban,6869
Wardrobe,Glass,Excellent,0,41022,IKEA,Rural,6373
Wardrobe,Fabric,Good,7,38579,Local,Urban,39016
Table,Glass,Poor,5,15571,IKEA,Semi-Urban,34449
Table,Wood,Poor,7,85753,Urban Ladder,Rural,7645
Bed,Glass,Poor,5,51225,Nilkamal,Semi-Urban,15081
Sofa,Fabric,Poor,10,10227,Local,Rural,27052
Table,Wood,Excellent,2,44189,Nilkamal,Semi-Urban,57791
Cabinet,Plastic,Good,14,17207,Local,Semi-Urban,15690
Table,Wood,Average,11,81208,Urban Ladder,Urban,10071
Desk,Metal,Poor,14,56406,Local,Urban,63730
Chair,Wood,Poor,10,44783,Urban Ladder,Semi-Urban,47339
Cabinet,Plastic,Good,7,88587,Godrej,Rural,58908
Cabinet,Glass,Average,4,31879,Urban Ladder,Rural,25736
Desk,Wood,Poor,11,31845,Urban Ladder,Semi-Urban,66364
Desk,Wood,Average,9,13015,Local,Semi-Urban,12892
Wardrobe,Wood,Poor,4,85961,Nilkamal,Urban,28391
Sofa,Wood,Excellent,14,24496,Urban Ladder,Semi-Urban,60978
Chair,Plastic,Excellent,11,3707,Local,Semi-Urban,39988
Bed,Fabric,Average,6,20767,Urban Ladder,Rural,13754
Cabinet,Fabric,Good,5,29467,IKEA,Urban,3997
Bed,Wood,Good,8,86222,IKEA,Urban,4476
Table,Plastic,Excellent,6,10118,IKEA,Semi-Urban,67776
Table,Plastic,Good,2,66884,IKEA,Urban,18354
Bed,Wood,Good,10,14213,Nilkamal,Rural,52317
Table,Metal,Good,10,84037,Urban Ladder,Semi-Urban,13407
Sofa,Wood,Average,11,11868,IKEA,Semi-Urban,54642
Desk,Metal,Average,4,54716,Local,Rural,30936
Table,Wood,Good,8,45523,IKEA,Urban,26185
Wardrobe,Metal,Excellent,10,37028,Godrej,Urban,46340
Table,Metal,Good,12,13545,Godrej,Rural,47783
Chair,Wood,Poor,14,3357,Nilkamal,Rural,64391
Sofa,Metal,Excellent,9,24788,Godrej,Rural,67995
Chair,Glass,Average,13,19802,Local,Rural,68595
Chair,Fabric,Poor,1,57739,IKEA,Urban,17177
Wardrobe,Plastic,Good,0,88875,Godrej,Urban,54425
Sofa,Metal,Good,10,4593,Godrej,Rural,52602
Sofa,Metal,Excellent,7,7602,Nilkamal,Rural,57709
Sofa,Plastic,Excellent,7,78113,Godrej,Semi-Urban,6262
Sofa,Metal,Good,1,13943,IKEA,Semi-Urban,19951
Sofa,Plastic,Good,13,36012,Urban Ladder,Urban,13527
Wardrobe,Wood,Excellent,12,73108,IKEA,Semi-Urban,9648
Table,Glass,Poor,7,19250,Godrej,Semi-Urban,44574
Chair,Glass,Average,4,85169,Godrej,Semi-Urban,8008
Sofa,Fabric,Excellent,1,47053,Godrej,Urban,12652
Cabinet,Metal,Poor,6,42388,Nilkamal,Semi-Urban,16812
Table,Fabric,Good,6,74405,Local,Rural,37499
Table,Wood,Average,2,74507,IKEA,Urban,46583
Chair,Glass,Poor,13,52662,Godrej,Semi-Urban,20397
Wardrobe,Wood,Average,0,64311,Urban Ladder,Urban,17559
Bed,Wood,Average,10,82493,Nilkamal,Semi-Urban,19745
Bed,Metal,Average,3,74504,Local,Urban,27297
Table,Wood,Poor,1,89789,Godrej,Rural,15248
Desk,Glass,Poor,3,59657,IKEA,Semi-Urban,69349
Desk,Fabric,Good,7,76183,Urban Ladder,Semi-Urban,51421
Chair,Glass,Average,1,28499,Nilkamal,Urban,5062
Bed,Metal,Excellent,0,34785,IKEA,Rural,44764
Table,Glass,Excellent,10,84993,IKEA,Semi-Urban,51908
Wardrobe,Plastic,Excellent,13,77536,Nilkamal,Rural,42532
Bed,Fabric,Poor,14,55030,IKEA,Semi-Urban,65570
Table,Plastic,Good,14,40909,Urban Ladder,Rural,39388
Table,Plastic,Poor,2,37894,Urban Ladder,Semi-Urban,10874
Sofa,Metal,Average,9,87124,IKEA,Urban,60083
Wardrobe,Wood,Excellent,6,75006,Godrej,Urban,3742
Sofa,Plastic,Poor,12,18473,IKEA,Rural,29459
Chair,Glass,Excellent,11,84697,Godrej,Semi-Urban,10094
Sofa,Wood,Poor,5,23063,IKEA,Semi-Urban,2264
Cabinet,Glass,Excellent,5,81444,Local,Rural,58615
Sofa,Glass,Average,6,14850,Urban Ladder,Semi-Urban,68871
Cabinet,Wood,Excellent,7,3984,IKEA,Urban,13909
Bed,Wood,Average,2,53450,Urban Ladder,Semi-Urban,20886
Desk,Glass,Average,2,59700,Nilkamal,Urban,65695
Table,Metal,Poor,9,75723,Local,Rural,25010
Cabinet,Fabric,Poor,12,23339,Godrej,Semi-Urban,28838
Wardrobe,Fabric,Poor,7,41481,Nilkamal,Rural,15052
Sofa,Metal,Average,11,67351,Local,Urban,4624
Cabinet,Wood,Good,12,55839,Nilkamal,Rural,4695
Wardrobe,Glass,Good,13,67236,Urban Ladder,Rural,41263
Desk,Fabric,Average,12,82619,Local,Semi-Urban,12652
Desk,Glass,Average,6,51287,Nilkamal,Rural,8341
Sofa,Metal,Poor,9,63306,Godrej,Rural,36524
Chair,Glass,Poor,4,55197,Local,Semi-Urban,9578
Sofa,Metal,Poor,3,28435,Local,Rural,40287
Bed,Wood,Good,5,70621,Nilkamal,Urban,2349
Cabinet,Metal,Good,8,33837,IKEA,Semi-Urban,26182
Table,Metal,Average,5,84719,Godrej,Urban,66532
Chair,Fabric,Good,7,38495,Godrej,Semi-Urban,53323
Sofa,Glass,Poor,0,42760,Nilkamal,Rural,7710
Wardrobe,Fabric,Poor,11,25084,Urban Ladder,Urban,29110
Chair,Plastic,Poor,13,40458,Urban Ladder,Urban,42412
Cabinet,Metal,Poor,5,54946,IKEA,Urban,56468
Chair,Plastic,Poor,13,69601,IKEA,Rural,32083
Cabinet,Fabric,Excellent,13,72218,Nilkamal,Urban,7288
Sofa,Glass,Average,1,62351,Urban Ladder,Urban,34186
Cabinet,Fabric,Average,2,50561,Godrej,Rural,50255
Chair,Glass,Good,5,53203,Urban Ladder,Rural,36429
Wardrobe,Glass,Poor,1,11820,Nilkamal,Rural,54368
Desk,Wood,Excellent,3,60232,Urban Ladder,Urban,43219
Chair,Metal,Poor,5,21757,Local,Urban,3146
Cabinet,Fabric,Poor,4,49588,Nilkamal,Urban,47515
Desk,Glass,Good,5,11058,Local,Semi-Urban,9923
Cabinet,Fabric,Excellent,14,82654,Nilkamal,Urban,32992
Wardrobe,Fabric,Excellent,5,39742,Godrej,Urban,3306
Cabinet,Glass,Average,7,75195,Nilkamal,Semi-Urban,67911
Sofa,Plastic,Poor,8,59980,Nilkamal,Semi-Urban,27068
Table,Metal,Excellent,4,73377,Nilkamal,Urban,44016
Chair,Metal,Average,5,21335,Nilkamal,Semi-Urban,69512
Table,Wood,Excellent,5,50351,IKEA,Urban,62415
Cabinet,Wood,Poor,5,88841,Local,Rural,17800
Wardrobe,Wood,Average,1,71960,Nilkamal,Rural,67712
Chair,Metal,Excellent,3,50501,Nilkamal,Rural,57458
Cabinet,Plastic,Good,0,58877,IKEA,Rural,54408
Desk,Metal,Excellent,13,17538,Urban Ladder,Semi-Urban,10116
Bed,Metal,Poor,11,6769,IKEA,Urban,68636
Cabinet,Metal,Good,0,34586,IKEA,Semi-Urban,31707
Table,Metal,Excellent,0,88551,IKEA,Rural,2840
Chair,Plastic,Excellent,6,70879,Nilkamal,Rural,26705
Table,Wood,Average,0,71922,IKEA,Urban,63073
Chair,Fabric,Poor,5,55219,IKEA,Semi-Urban,64310
Cabinet,Wood,Excellent,1,38107,IKEA,Rural,42202
Sofa,Wood,Excellent,5,3683,Nilkamal,Semi-Urban,62849
Desk,Fabric,Excellent,5,69590,Godrej,Urban,62856
Cabinet,Metal,Poor,11,64097,Godrej,Urban,3045
Table,Plastic,Good,10,66402,Urban Ladder,Semi-Urban,19414
Bed,Plastic,Poor,2,88934,Nilkamal,Urban,5313
Bed,Wood,Average,14,26685,IKEA,Semi-Urban,2997
Wardrobe,Fabric,Average,7,68884,IKEA,Semi-Urban,2042
Chair,Glass,Poor,10,19362,IKEA,Semi-Urban,59570
Table,Metal,Excellent,3,3503,Godrej,Rural,5935
Wardrobe,Wood,Excellent,12,44045,IKEA,Rural,5802
Table,Plastic,Good,6,16576,IKEA,Semi-Urban,45953
Chair,Fabric,Poor,3,36290,Godrej,Urban,5352
Cabinet,Fabric,Poor,0,63495,IKEA,Urban,48448
Cabinet,Wood,Excellent,5,14884,Urban Ladder,Rural,56998
Bed,Glass,Average,4,54660,Local,Semi-Urban,3557
Cabinet,Plastic,Average,8,28205,Urban Ladder,Rural,63289
Cabinet,Wood,Good,14,66739,Nilkamal,Semi-Urban,56517
Sofa,Glass,Good,13,35785,Urban Ladder,Urban,64708
Bed,Fabric,Average,13,4268,Urban Ladder,Urban,30388
Wardrobe,Metal,Poor,14,69712,Godrej,Rural,15472
Desk,Plastic,Good,8,21016,Nilkamal,Urban,63527
Sofa,Plastic,Excellent,11,64939,Urban Ladder,Semi-Urban,60162
Wardrobe,Glass,Poor,10,81281,Local,Urban,8756
Chair,Wood,Excellent,12,80497,Urban Ladder,Urban,33041
Sofa,Fabric,Good,7,52266,IKEA,Rural,59673
Wardrobe,Glass,Average,14,44712,Godrej,Semi-Urban,62429
Chair,Metal,Good,6,9768,IKEA,Rural,25310
Bed,Metal,Average,13,62214,Nilkamal,Rural,19186
Desk,Metal,Poor,1,21972,Nilkamal,Urban,16161
Chair,Glass,Good,13,76162,Godrej,Semi-Urban,11652
Cabinet,Fabric,Good,7,66412,Urban Ladder,Semi-Urban,29096
Table,Plastic,Good,2,48281,Nilkamal,Rural,68060
Chair,Wood,Poor,5,31403,Local,Rural,61266
Chair,Plastic,Excellent,9,33226,Godrej,Urban,9119
Desk,Fabric,Excellent,6,52985,IKEA,Semi-Urban,36259
Table,Plastic,Average,11,31783,Local,Semi-Urban,31305
Cabinet,Glass,Good,5,76939,Godrej,Urban,62040
Wardrobe,Metal,Excellent,4,71155,Local,Rural,17291
Wardrobe,Fabric,Poor,3,69883,Godrej,Semi-Urban,56490
Chair,Fabric,Good,1,71700,IKEA,Urban,6247
Table,Plastic,Average,8,82095,Urban Ladder,Rural,68682
Table,Glass,Excellent,13,30788,Godrej,Urban,57680
Cabinet,Plastic,Poor,6,10166,Nilkamal,Semi-Urban,33136
Desk,Plastic,Poor,6,38219,IKEA,Rural,65097
Bed,Fabric,Average,3,68441,IKEA,Urban,54971
Wardrobe,Plastic,Excellent,13,3403,Local,Urban,16059
Desk,Metal,Good,4,78569,Nilkamal,Urban,19638
Sofa,Plastic,Poor,5,30224,Local,Semi-Urban,2250
Wardrobe,Metal,Average,11,86610,IKEA,Semi-Urban,32850
Desk,Fabric,Poor,10,6485,Godrej,Semi-Urban,35110
Wardrobe,Glass,Poor,11,77984,Nilkamal,Urban,21298
Bed,Metal,Excellent,1,68491,IKEA,Semi-Urban,58610
Sofa,Glass,Excellent,3,89208,Nilkamal,Urban,20187
Bed,Glass,Good,14,81946,Godrej,Urban,52157
Cabinet,Metal,Poor,12,17262,Urban Ladder,Urban,19311
Sofa,Fabric,Average,3,78370,Local,Rural,21738
Chair,Wood,Poor,11,30928,Local,Urban,47967
Desk,Glass,Average,12,66179,IKEA,Semi-Urban,47608
Sofa,Glass,Poor,3,89365,IKEA,Urban,28818
Cabinet,Fabric,Average,6,37712,Godrej,Semi-Urban,5571
Cabinet,Fabric,Poor,12,88491,IKEA,Rural,69410
Bed,Plastic,Poor,6,37328,IKEA,Rural,39877
Wardrobe,Fabric,Good,6,34632,IKEA,Urban,61308
Sofa,Glass,Excellent,6,40515,Nilkamal,Semi-Urban,54457
Desk,Metal,Excellent,1,65074,Nilkamal,Rural,47577
Sofa,Wood,Average,4,75690,Urban Ladder,Rural,52035
Table,Plastic,Poor,9,67947,Nilkamal,Rural,13312
Wardrobe,Metal,Poor,1,31170,Local,Semi-Urban,67315
Desk,Wood,Excellent,4,49857,Urban Ladder,Urban,23058
Desk,Wood,Average,11,52744,IKEA,Urban,54630
Chair,Wood,Good,5,80621,Local,Rural,3770
Bed,Metal,Good,2,8327,Urban Ladder,Urban,41129
Chair,Plastic,Good,5,64246,Urban Ladder,Rural,18567
Desk,Plastic,Poor,14,85675,Local,Semi-Urban,52184
Wardrobe,Wood,Average,4,36264,Urban Ladder,Urban,44282
Sofa,Metal,Excellent,3,81596,Local,Semi-Urban,60038
Sofa,Wood,Poor,9,18656,Urban Ladder,Urban,52967
Wardrobe,Fabric,Poor,8,21805,Urban Ladder,Semi-Urban,13980
Desk,Plastic,Good,10,31855,Urban Ladder,Semi-Urban,69839
Cabinet,Glass,Average,13,7127,Local,Urban,61651
Sofa,Wood,Average,7,64722,Urban Ladder,Rural,17592
Cabinet,Fabric,Good,11,41319,Nilkamal,Rural,54440
Sofa,Plastic,Good,6,72126,Nilkamal,Semi-Urban,67769
Sofa,Metal,Good,10,15973,Nilkamal,Semi-Urban,38821
Bed,Plastic,Poor,14,85381,Nilkamal,Rural,6162
Bed,Metal,Poor,0,51087,Nilkamal,Urban,35237
Table,Metal,Poor,8,60711,IKEA,Urban,32045
Chair,Wood,Excellent,8,30281,Urban Ladder,Semi-Urban,1761
Wardrobe,Wood,Excellent,5,19549,Godrej,Urban,65967
Wardrobe,Plastic,Average,6,64426,IKEA,Semi-Urban,49476
Wardrobe,Fabric,Good,12,30623,Local,Urban,37867
Table,Plastic,Good,2,7697,IKEA,Semi-Urban,16411
Bed,Glass,Poor,4,18730,Godrej,Urban,46808
Desk,Metal,Excellent,6,31245,IKEA,Semi-Urban,68070
Cabinet,Metal,Good,0,47134,Urban Ladder,Rural,65587
Cabinet,Wood,Average,11,34313,Nilkamal,Rural,36074
Desk,Fabric,Good,0,87093,Urban Ladder,Rural,46623
Table,Wood,Poor,4,68573,IKEA,Rural,28550
Desk,Glass,Poor,8,56595,Godrej,Semi-Urban,15660
Wardrobe,Plastic,Excellent,6,32908,Local,Urban,63476
Chair,Plastic,Average,0,70557,Urban Ladder,Semi-Urban,66077
Sofa,Fabric,Average,12,42648,Godrej,Semi-Urban,39058
Cabinet,Wood,Good,12,40289,Local,Semi-Urban,12967
Bed,Wood,Average,14,65710,Nilkamal,Urban,54825
Bed,Glass,Good,11,11839,Urban Ladder,Semi-Urban,65265
Table,Plastic,Good,4,71838,Urban Ladder,Rural,15548
Bed,Wood,Excellent,14,11511,Nilkamal,Rural,30228
Wardrobe,Fabric,Average,7,89527,Nilkamal,Semi-Urban,9466
Cabinet,Plastic,Poor,7,78450,IKEA,Rural,21845
Desk,Glass,Good,11,12948,Local,Rural,54408
Wardrobe,Fabric,Good,1,47638,Godrej,Urban,6028
Table,Metal,Good,6,8873,Nilkamal,Semi-Urban,9564
Wardrobe,Glass,Average,9,34461,IKEA,Semi-Urban,57405
Desk,Fabric,Average,4,76034,Local,Rural,44381
Chair,Wood,Average,8,30091,Local,Semi-Urban,62257
Table,Metal,Good,2,74171,Urban Ladder,Semi-Urban,69257
Chair,Glass,Poor,0,55999,IKEA,Rural,11439
Sofa,Wood,Poor,12,36532,IKEA,Rural,31972
Chair,Metal,Average,3,25690,Urban Ladder,Semi-Urban,54164
Sofa,Plastic,Poor,6,20036,Godrej,Urban,7915
Sofa,Wood,Good,0,48040,Nilkamal,Rural,14095
Chair,Fabric,Average,1,59196,Urban Ladder,Semi-Urban,56420
Table,Glass,Average,13,50911,Nilkamal,Rural,34823
Desk,Metal,Good,4,47562,IKEA,Semi-Urban,2640
Wardrobe,Wood,Average,8,13321,Urban Ladder,Semi-Urban,48481
Wardrobe,Plastic,Good,13,32152,Godrej,Urban,15753
Desk,Glass,Average,0,88884,Nilkamal,Rural,58614
Cabinet,Glass,Poor,11,89531,Nilkamal,Urban,65486
Cabinet,Wood,Average,3,57911,Nilkamal,Rural,7245
Sofa,Plastic,Average,11,3145,IKEA,Urban,49928
Sofa,Metal,Average,13,73637,Nilkamal,Rural,59957
Table,Wood,Excellent,2,7247,Local,Urban,63889
Bed,Metal,Poor,13,78114,Nilkamal,Urban,21499
Chair,Glass,Good,4,72724,IKEA,Rural,68276
Sofa,Metal,Excellent,4,66289,Urban Ladder,Urban,62736
Wardrobe,Plastic,Poor,9,46547,Nilkamal,Urban,46585
Table,Fabric,Average,1,5696,Nilkamal,Rural,14458
Chair,Plastic,Average,4,65041,Urban Ladder,Rural,19428
Table,Metal,Good,8,22713,Local,Semi-Urban,25984
Chair,Wood,Good,4,47549,IKEA,Rural,61261
Chair,Glass,Poor,14,46548,Urban Ladder,Semi-Urban,14793
Desk,Fabric,Poor,10,55633,IKEA,Urban,35374
Sofa,Wood,Good,9,7641,Urban Ladder,Rural,44912
Table,Wood,Poor,1,74095,Godrej,Semi-Urban,56619
Table,Plastic,Good,6,14631,Local,Rural,13043
Desk,Metal,Average,14,38816,Godrej,Semi-Urban,50932
Wardrobe,Plastic,Good,5,5023,Urban Ladder,Semi-Urban,11407
Wardrobe,Metal,Excellent,6,28656,Urban Ladder,Rural,10805
Cabinet,Plastic,Good,7,89190,IKEA,Urban,38672
Sofa,Wood,Good,9,37842,Urban Ladder,Urban,53722
Sofa,Glass,Excellent,4,58189,IKEA,Semi-Urban,14070
Bed,Metal,Excellent,1,48923,IKEA,Semi-Urban,68166
Desk,Fabric,Excellent,6,38080,Urban Ladder,Urban,56950
Wardrobe,Fabric,Excellent,6,6474,IKEA,Rural,42291
Chair,Wood,Good,7,82707,Local,Rural,41884
Table,Plastic,Poor,6,6260,Godrej,Urban,45864
Sofa,Plastic,Excellent,9,63218,Urban Ladder,Urban,50559
Table,Wood,Average,6,52109,IKEA,Urban,57895
Table,Fabric,Good,13,8618,IKEA,Semi-Urban,23968
Bed,Fabric,Poor,12,48765,IKEA,Urban,63200
Wardrobe,Plastic,Average,8,37118,IKEA,Urban,62145
Sofa,Metal,Good,7,12285,Local,Urban,68965
Table,Glass,Good,14,60083,Urban Ladder,Urban,12137
Sofa,Metal,Average,1,76677,Urban Ladder,Rural,32631
Chair,Fabric,Excellent,1,31352,Local,Rural,6225
Bed,Metal,Excellent,6,47056,Local,Urban,65508
Chair,Glass,Average,9,66045,Local,Semi-Urban,39988
Sofa,Metal,Poor,14,26707,Urban Ladder,Semi-Urban,16013
Cabinet,Metal,Excellent,10,25161,Nilkamal,Rural,11511
Sofa,Metal,Good,12,70390,Godrej,Semi-Urban,32073
Wardrobe,Metal,Good,14,21650,Local,Semi-Urban,68746
Table,Wood,Poor,9,19944,Local,Rural,46933
Table,Fabric,Good,2,10546,Urban Ladder,Urban,22076
Chair,Glass,Excellent,0,57139,Urban Ladder,Urban,33222
Bed,Fabric,Poor,8,10207,Godrej,Rural,60742
Cabinet,Wood,Excellent,13,75022,IKEA,Urban,43898
Desk,Wood,Poor,14,34222,Urban Ladder,Urban,33957
Table,Wood,Average,13,32121,Godrej,Rural,31116
Wardrobe,Wood,Good,13,87303,Urban Ladder,Rural,22660
Chair,Metal,Poor,2,41915,Urban Ladder,Rural,68037
Chair,Fabric,Average,0,13017,Urban Ladder,Semi-Urban,22137
Desk,Plastic,Excellent,5,18094,Nilkamal,Rural,31934
Wardrobe,Glass,Average,3,34236,Nilkamal,Rural,6921
Bed,Wood,Excellent,13,10664,Local,Rural,20280
Wardrobe,Fabric,Poor,0,32921,Nilkamal,Rural,19231
Bed,Wood,Poor,3,83109,Godrej,Urban,19421
Wardrobe,Wood,Good,7,70219,Urban Ladder,Rural,47398
Wardrobe,Wood,Good,10,66590,Nilkamal,Rural,29222
Sofa,Wood,Poor,6,12390,Urban Ladder,Semi-Urban,3282
Chair,Wood,Excellent,14,36777,IKEA,Semi-Urban,20432
Wardrobe,Glass,Excellent,11,51588,Local,Urban,36018
Desk,Fabric,Poor,0,45667,Nilkamal,Rural,41153
Wardrobe,Wood,Excellent,9,32980,Urban Ladder,Rural,7373
Table,Wood,Poor,11,26808,IKEA,Rural,44473
Chair,Wood,Good,8,66470,Local,Semi-Urban,31117
Table,Wood,Excellent,5,75762,Local,Urban,24156
Chair,Metal,Good,1,20926,IKEA,Semi-Urban,24124
Table,Metal,Average,2,20621,Nilkamal,Rural,30536
Wardrobe,Plastic,Good,6,14167,Nilkamal,Semi-Urban,45008
Wardrobe,Wood,Average,2,74245,Urban Ladder,Rural,55666
Sofa,Plastic,Good,12,81776,Godrej,Rural,25035
Desk,Glass,Good,2,38031,Urban Ladder,Rural,64685
Table,Plastic,Excellent,4,35146,Urban Ladder,Urban,2469
Bed,Fabric,Good,2,10998,Urban Ladder,Semi-Urban,9627
Sofa,Metal,Poor,2,43508,IKEA,Rural,59116
Table,Metal,Excellent,10,79348,Local,Rural,33570
Table,Wood,Excellent,4,34101,Local,Urban,40810
Sofa,Wood,Excellent,13,82764,Godrej,Urban,32630
Wardrobe,Glass,Good,4,27747,Nilkamal,Rural,20708
Table,Glass,Excellent,11,63800,Urban Ladder,Rural,14875
Wardrobe,Fabric,Average,8,4882,IKEA,Rural,37786
Sofa,Wood,Average,0,41955,IKEA,Rural,21904
Wardrobe,Wood,Good,13,87195,Urban Ladder,Urban,22840
Chair,Glass,Excellent,0,62965,IKEA,Semi-Urban,25861
Bed,Glass,Poor,10,44560,IKEA,Urban,54997
Cabinet,Glass,Poor,13,34343,Urban Ladder,Urban,16929
Table,Metal,Average,8,86943,Godrej,Semi-Urban,34267
Desk,Plastic,Good,4,6950,IKEA,Rural,50996
Bed,Plastic,Good,3,6889,Local,Rural,6142
Cabinet,Wood,Good,1,33410,Local,Semi-Urban,39350
Wardrobe,Metal,Good,11,21976,Local,Urban,5510
Table,Glass,Good,8,26016,Urban Ladder,Rural,53571
Wardrobe,Wood,Excellent,5,77747,Local,Semi-Urban,51111
Chair,Metal,Excellent,14,25742,Nilkamal,Semi-Urban,55878
Sofa,Fabric,Excellent,8,26553,IKEA,Semi-Urban,65873
Table,Metal,Poor,4,66338,Godrej,Rural,20672
Cabinet,Wood,Excellent,3,32332,Local,Semi-Urban,28625
Cabinet,Plastic,Good,6,81625,Urban Ladder,Urban,48652
Chair,Glass,Good,4,7436,Godrej,Urban,14364
Chair,Fabric,Poor,7,20087,Urban Ladder,Semi-Urban,12877
Table,Metal,Poor,7,58702,Godrej,Semi-Urban,27870
Wardrobe,Wood,Average,12,28428,Godrej,Semi-Urban,55096
Desk,Wood,Poor,1,77033,IKEA,Urban,6269
Cabinet,Glass,Average,12,31154,Godrej,Rural,43953
Cabinet,Wood,Excellent,14,47747,Nilkamal,Urban,5733
Chair,Wood,Good,4,37349,Nilkamal,Semi-Urban,66276
Bed,Glass,Average,9,72493,Nilkamal,Rural,64521
Chair,Fabric,Average,7,40358,Urban Ladder,Rural,30252
Desk,Plastic,Average,2,55484,IKEA,Semi-Urban,47853
Wardrobe,Plastic,Poor,6,83449,Urban Ladder,Semi-Urban,41548
Wardrobe,Metal,Poor,2,53837,Local,Urban,36724
Bed,Fabric,Poor,14,78333,Nilkamal,Urban,36680
Cabinet,Metal,Average,5,10531,IKEA,Urban,12754
Chair,Plastic,Excellent,1,16825,Nilkamal,Semi-Urban,60980
Wardrobe,Glass,Good,5,67028,IKEA,Rural,58514
Desk,Wood,Poor,5,75447,Urban Ladder,Urban,66266
Table,Plastic,Excellent,7,35316,Urban Ladder,Semi-Urban,31684
Sofa,Fabric,Poor,4,74267,Nilkamal,Rural,42291
Sofa,Plastic,Poor,13,20279,Godrej,Semi-Urban,57918
Sofa,Fabric,Average,0,47223,IKEA,Semi-Urban,57366
Cabinet,Fabric,Average,14,31000,Local,Semi-Urban,24651
Chair,Fabric,Poor,7,15045,Godrej,Urban,13440
Bed,Metal,Good,11,54498,Urban Ladder,Semi-Urban,57748
Wardrobe,Glass,Poor,8,39299,IKEA,Semi-Urban,59054
Table,Plastic,Good,0,79202,Godrej,Semi-Urban,62781
Desk,Glass,Excellent,4,21245,Local,Urban,60845
Table,Wood,Poor,11,30339,Godrej,Semi-Urban,63733
Desk,Plastic,Good,5,73388,Local,Semi-Urban,16975
Cabinet,Glass,Excellent,3,84950,Urban Ladder,Urban,30518
Chair,Glass,Excellent,13,66819,IKEA,Semi-Urban,44527
Sofa,Wood,Average,10,82817,Urban Ladder,Rural,3224
Chair,Fabric,Excellent,1,31031,IKEA,Semi-Urban,36451
Cabinet,Plastic,Average,4,19626,Godrej,Semi-Urban,55193
Bed,Plastic,Excellent,13,26302,Urban Ladder,Urban,50197
Bed,Wood,Excellent,13,49691,IKEA,Urban,64925
Cabinet,Fabric,Good,3,33112,Local,Urban,11506
Desk,Plastic,Good,12,74047,IKEA,Urban,26079
Wardrobe,Plastic,Average,6,73204,Urban Ladder,Rural,4293
Wardrobe,Plastic,Poor,5,9087,Urban Ladder,Semi-Urban,28496
Desk,Fabric,Good,2,75551,Godrej,Semi-Urban,5877
Bed,Wood,Excellent,8,34314,Local,Rural,12022
Bed,Plastic,Average,13,80150,IKEA,Urban,5830
Bed,Glass,Average,3,72539,Urban Ladder,Semi-Urban,21812
Chair,Fabric,Average,14,29235,IKEA,Rural,17361
Bed,Metal,Excellent,10,63572,Nilkamal,Semi-Urban,23225
Table,Wood,Good,4,36366,Local,Rural,34723
Sofa,Glass,Poor,13,54347,Local,Rural,32944
Bed,Plastic,Average,2,35837,Nilkamal,Semi-Urban,23608
Desk,Metal,Excellent,7,11139,Local,Urban,28064
Sofa,Wood,Good,10,12585,Nilkamal,Urban,2057
Chair,Fabric,Good,6,6659,IKEA,Rural,14249
Desk,Metal,Poor,10,8634,Nilkamal,Urban,66778
Sofa,Metal,Average,10,6682,Godrej,Semi-Urban,46746
Desk,Glass,Excellent,14,38451,Nilkamal,Rural,23998
Chair,Wood,Good,6,73098,IKEA,Semi-Urban,2867
Table,Glass,Excellent,7,7652,Local,Semi-Urban,11291
Chair,Glass,Good,6,89851,Godrej,Urban,9848
Chair,Plastic,Average,2,78038,Nilkamal,Semi-Urban,55609
Desk,Fabric,Average,2,73249,IKEA,Rural,25179
Cabinet,Metal,Poor,1,8413,Godrej,Rural,35198
Wardrobe,Wood,Good,12,24984,Godrej,Semi-Urban,66136
Bed,Fabric,Excellent,0,23487,Godrej,Semi-Urban,8842
Bed,Fabric,Good,4,5075,Nilkamal,Rural,32270
Table,Wood,Excellent,11,36550,IKEA,Urban,63600
